DATE,VIX,VIX3M,DIX,GEX,SP500_returns
1990-01-02,17.24,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-03,18.19,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-04,19.22,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-05,20.11,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-08,20.26,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-09,22.2,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-10,22.44,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-11,20.05,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-12,24.64,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-15,26.34,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-16,24.18,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-17,24.16,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-18,24.34,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-19,22.5,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-22,26.7,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-23,24.72,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-24,25.39,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-25,25.63,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-26,26.28,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-29,26.44,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-30,27.25,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-01-31,25.36,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-02-01,24.87,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-02-02,24.32,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-02-05,24.54,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-02-06,24.69,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-02-07,24.29,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-02-08,23.77,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-02-09,23.69,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-02-12,24.38,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-02-13,23.76,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
1990-02-14,22.05,26.54,0.3788420991568634,1897312571.486,0.0006056855772305381
